POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,PREDICTED_CAPACITY
*CCOC(=O)Sc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,41.376595
*Oc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,39.750626
*Oc1ccc(OC(=O)c2ccc(OC(=O)Nc3cccc(*)c3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,36.001614
*Oc1ccccc1C(=O)Oc1ccc(Cc2ccc(OC(=O)c3ccc(C(=O)Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,34.98511
*/C=N/c1cccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,26.175798
*Cc1ccc(COC(=O)c2ccc(-c3ccc(NC(=O)Nc4ccc(*)cc4)cc3)cc2)cc1C,CN(C)C(=N)N=C(N)N,8.2,12.5,25.17636
*OC(=O)NC(=O)c1ccc(C(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,22.45153
*Oc1ccc(Oc2ccc(C(=O)c3ccc(OC(=O)c4ccc(C(*)=O)cc4O)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,19.373375
*OC(=O)C(=O)N([2H])C(C)C(*)=O,CN(C)C(=N)N=C(N)N,8.2,12.5,12.510944
*O[Si](C)(C)CCOc1cccc(C(=O)c2ccc(Oc3ccc(C(*)=O)cc3)c(F)c2)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,11.918021
*C(=O)c1ccc(S(=O)(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,11.663003
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)N*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,11.074451
*NNC(=O)c1ccc(C(=O)NC(*)=O)c(Cl)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,10.159
*OC(=O)c1ccc(C(=O)OC(C)C(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,10.010212
*O[Si](C)(C)Oc1ccc(/C=C/c2ccc(-c3ccc(/N=N/c4ccc(Sc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,9.979777
*Oc1ccc(C(=O)Nc2ccc(S(=O)(=O)c3ccc(*)cc3C)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,9.176199
*CCCOC(=O)NC(=O)c1ccccc1C(*)=O,CN(C)C(=N)N=C(N)N,8.2,12.5,8.3497505
*OC(=O)COC(=O)c1ccc([Si](C)(C)c2ccc(C(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,8.031079
*CC(C)OC(=O)c1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,7.6807885
*OC(=O)NCc1ccc(C(=O)OCCOC(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,7.6352963
*Oc1ccc(-c2ccc(-c3ccc(OC(=O)c4ccccc4C(=O)OC(*)=O)cc3)c(C(F)(F)F)c2)cc1F,CN(C)C(=N)N=C(N)N,8.2,12.5,6.5453844
*NNC(=O)c1ccc(C(=O)Nc2cc(Cl)c(C(=O)OCCc3ccc(C(*)=O)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,6.5021243
*Oc1ccc(NC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,6.2912774
*NC(=O)NC(=O)c1ccc(C(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,5.8961034
*CC(C#N)=C/C=C/C(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,5.8624325
*OC(=O)OCCOc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,4.06906
*Nc1ccc(C(C)(C)c2ccc(C(=O)NCCCNC(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,3.664415
*CCCCOC(=O)C(CCCCCCCC(=O)O*)c1ccc(C(=O)OC)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,3.4676497
*NC(C)CCCOc1ccccc1OC(=O)c1ccc(S(=O)(=O)c2ccc(*)cc2)c(SCCCC)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,3.1511123
*Nc1ccc(Oc2ccc(Sc3ccc(NC(=O)Nc4ccc(Oc5ccc(*)cc5)cc4)cc3)cc2)cc1/N=N/c1ccc(CC)cc1O,CN(C)C(=N)N=C(N)N,8.2,12.5,2.822071
*Oc1ccc(-c2ccc(OC(=O)c3ccc(OCCOC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,2.67722
*Oc1ccc(C(=O)OCCCCCCOC(=O)c2cccc(C(*)=O)c2)cc1OC(C)C,CN(C)C(=N)N=C(N)N,8.2,12.5,2.5358133
*Oc1cccc(C(=O)Oc2ccc(OCCOc3ccc(C(*)=O)cc3)cc2)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,2.2829115
*OC(=O)c1ccc(C(=O)OC(*)=O)cc1O,CN(C)C(=N)N=C(N)N,8.2,12.5,2.1422591
*C(=O)NC(=O)NNC(=O)c1ccc(*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,2.127139
*OC(=O)c1ccc(C(=O)OCCOC(=O)c2ccc(C(*)=O)cc2)cc1N,CN(C)C(=N)N=C(N)N,8.2,12.5,2.0863276
*Nc1ccc(-c2ccc(Cc3ccc(NC(=O)CCCCCCC(*)=O)cc3C(=O)O)c(C)c2)cc1OC,CN(C)C(=N)N=C(N)N,8.2,12.5,1.9698973
*CC(OC(C)CCCCCCOc1ccc(/C=N/c2ccc(-c3ccc(O*)cc3)cc2)cc1)[N+](=O)[O-],CN(C)C(=N)N=C(N)N,8.2,12.5,1.8080403
*/N=N/N=C/c1ccc(/C(C)=C/c2ccccc2)cc1CC(=O)O*,CN(C)C(=N)N=C(N)N,8.2,12.5,1.4385166
*OP(=O)(Oc1ccc(C(C)(C)OC(*)=O)cc1)c1ccccc1,CN(C)C(=N)N=C(N)N,8.2,12.5,1.2520422
*CC(CC)NC(=O)c1ccc(-c2ccc(NC(=O)N*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.9778017
*O[Si](C)(C)CCCOC(=O)c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.90789044
*CCOCCCOCCOC(=O)c1ccc(C(=O)O*)c(Br)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.8923153
*CCCCNC(=O)c1ccc(C(=O)NNc2ccc(Cc3ccc(N(*)CC)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.8855627
*Oc1ccc(C(=O)Nc2ccc(Nc3ccc(NC(=O)CC(*)=O)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.8797219
*CC(O)COCCOC(=O)c1cccc(C(=O)Nc2ccc(Cc3ccc(O*)cc3)cc2)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.850023
*CCN(CCCOC(=O)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc(O*)cc3)cc2)cc1)C(=O)OC(C)C,CN(C)C(=N)N=C(N)N,8.2,12.5,0.83052635
*CNC(=O)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.8032455
*Oc1ccc(/C=N/N=C/N=C/c2ccc(C(C)(C)c3ccc(C(=O)/c4ccc(*)s4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.6012788
*Nc1c(Cl)cc(C(*)=O)c(S(=O)(=O)O)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.5495943
*CCOCCOCCOCCOC(=O)Nc1ccc(C(=O)O*)c(C)c1C,CN(C)C(=N)N=C(N)N,8.2,12.5,0.5436741
*CC(CCCCCCCCCOCCOCCOCCOCOCCOCOC*)Oc1ccc(Br)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.54037017
*C(=O)CCOC(=O)c1ccc(C(=O)Oc2ccc(O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.51714873
*CC(OC)C(COCOC(=O)c1ccc(/C=N/c2ccc(C(=O)O*)cc2)cc1)CCC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.4945488
*NC(CCCCCCCOc1ccc(C(=O)c2ccc(C(=O)Oc3ccc(O*)cc3)cc2)cc1)C(=O)OC(C)CCCCCCC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.43998587
*C#CCOc1ccc(C(=O)c2ccc(OCCCCCC(=O)c3ccc(S(=O)(=O)c4ccc(O*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.4100965
*CCCOc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(OCCCCCCCCCCOc4ccc(N*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.3943113
*OC(=O)c1ccc(OC(=O)CCC(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.38379914
*CCCOC(=O)COC(=O)c1ccc(NC(=O)c2ccc(C(=O)S*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.34672725
*CCC(=O)NCCCNC(=O)C(CCC(=O)N*)c1cccc(C)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.31029963
*Oc1cc(C)cc(C(=O)OCCCCC(*)=O)c1C(=O)OC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.286157
*NC(=O)C(CCCCCCCOc1ccc(NC(=O)O*)cc1)SCCC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.27742085
*CCCCCCCCCCOC(=O)c1ccc(C(C)(C)c2ccc(O*)cc2)cc1Oc1ccc([N+](=O)[O-])cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.26807192
*OP(=O)(OC)OC(O)c1ccc(/C=C/c2ccc(*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.22149713
*CCCCCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(O*)cc2)c(C(C)C)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.17107268
*CC(O)C(F)COc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(=O)O*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.14262071
*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(NC(=O)c4ccc(OC(=O)c5ccc(*)s5)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.13289154
*CCOCCOC(=O)NCC(C)(CCCOc1ccc(/C=N/c2ccc(O*)cc2)cc1)c1ccc(OCCCCC)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.13111721
*Oc1ccc(/N=N/c2ccc(Oc3ccc(N=C(C)CCCCCCCCc4ccc(*)o4)s3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.12798046
*CCCCCCCCNC(=O)Cc1ccc(C(=O)N*)c(OCCCCCCCCCCCCCC)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.124100104
*Oc1ccc(Sc2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)c(OC)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.11727338
*NC(CCCCCCCNC(=O)OCCOc1ccc(/N=N/c2ccc(*)cc2)cc1)CC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.10849724
*CCOCCOC(=O)CCCCC(COCC)CC(=O)O*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.092526235
*/C=N/c1ccc(Cc2ccc([N+](=O)[O-])cc2)cc1CCCCCCCCCCCCCCCCCCCC(*)=O,CN(C)C(=N)N=C(N)N,8.2,12.5,0.049745865
*CCOCCOCCOP(=O)(C#N)C(=O)Sc1ccccc1-c1ccc(C(=O)N*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.045636337
*CCCCCCOC(=O)c1ccc(/C=N/c2ccc(C(C)(C)c3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.04441258
*O[Si](C)(C)OC(O)c1ccc(C(=O)Oc2ccc(C(*)=O)cc2S(=O)(=O)O[Na])cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.036302384
*CC(C)CCCCCNC(=O)c1ccc(C(=O)NCCCO*)c(C)c1Br,CN(C)C(=N)N=C(N)N,8.2,12.5,0.031199832
*SSc1ccc(C(=O)OCCCCCCCOC(=O)c2ccc(C(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.029399771
*Cc1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)c(C)c2)cc1C(C)CCCCCC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.029037066
*CCCCCCCCCCOc1cc(Cl)ccc1OC(=O)CCCOC(=O)c1ccc(*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.025804235
*Oc1ccc(OCCCCCCCCCCOC(=O)c2ccc(C(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.023177318
*CCCCCCCCCCOc1ccc(C(=O)Nc2ccc(-c3ccc(N(*)C)cc3)cc2)cc1S(=O)(=O)O,CN(C)C(=N)N=C(N)N,8.2,12.5,0.02074885
*OC(O)C(=O)NC(C)(C)OC(*)=O,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0175261
*O[Si](C)(C)OC(C)OC(=O)Nc1ccc(C(=O)Oc2ccc(S(*)(=O)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.016707305
*Oc1ccc(NC(=O)c2ccc(OCCOc3ccc(S(=O)(=O)CCS(*)(=O)=O)cc3OCCC)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.016038164
*Oc1ccc(/C(C#N)=N/C=C/c2ccc(C(=O)OCC(*)=O)cc2OCCCCC(C)CC)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.015557704
*CCCCCCNC(=O)C(=O)NCc1ccc(NC(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.015186826
*Oc1ccc(C(=O)ONCc2cc(C)c(OC(=O)C(C)CC(=O)O*)c(C(=O)OCCCCC)c2)s1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.01295409
*Cc1ccc(S(=O)(=O)CCCCCCC(=O)N2CCC(CCC(=O)O*)CCCC2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.012567531
*Oc1c(C)cc(C)c(NC(=O)CCCCC(*)=O)c1C#N,CN(C)C(=N)N=C(N)N,8.2,12.5,0.011249059
*c1ccc(S(=O)(=O)CCCCCCCCCCCC(=O)OCCCCOc2ccc(*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00955632
*CC(C#N)C(=O)Nc1ccc(NNC(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.008667154
*CCCOC(=O)c1ccc(C(=O)OCCCCCCCOC(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.006562175
*CCCCCCC(=O)N(CCCCCCOc1ccc(CCCC(=O)O*)c(C)c1)C(=O)OCCOc1ccc(/N=N/c2ccc(F)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00572643
*c1ccc(OC(=O)c2ccc(C(=O)O*)cc2C)c(OC(=O)c2ccccc2)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0055874335
*Oc1ccc(OC(=O)c2ccc(NCCCCCNC(=O)c3ccc(C(*)=O)c(OC)c3)cc2)cc1Oc1ccccc1[N+](=O)[O-],CN(C)C(=N)N=C(N)N,8.2,12.5,0.0055128457
*/C=C/C(CSCCCCCOC(=O)CCC(=O)O*)OC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0053060125
*CCCOC(=O)C(C)CCC(=O)OC(Oc1ccccc1)C(=O)O*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0050833635
*CCCCCCCCC(CNC(=O)CCCCC(=O)N(C)C(=O)N*)c1ccc(-c2ccc(Cl)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0048613423
*O[Si](C)(C)CCCCOC(=O)c1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0046315696
*CC(OCCCCNC(=O)CCCCCC(=O)N*)c1ccc(/N=N/c2ccc(C#N)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0039400537
*CCCCCCOC(=O)Oc1ccc(-c2ccc(OCCCC(=O)OCCCOc3ccc(O*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0034709307
*CNC(CCOC(=O)Cc1ccc(Cl)cc1)C(=O)NCC(=O)OCCOC(=O)O*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0034375081
*Oc1ccc(C(=O)c2ccc(OC(=O)OCCOC(*)=O)cc2C(=O)Oc2ccc(OC(=O)c3ccc(C#N)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.003397894
*Oc1ccc(NC(=O)c2ccc(OC(=O)c3ccc(OCCCCCCCC(*)=O)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0030475853
*CC(C#N)=C(C=C(C)C(=O)NC(C)N*)CCCCCCC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0024506152
*Oc1ccc(C(=O)CCCC(=O)Nc2ccc(C(=O)Sc3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0021052002
*Oc1ccc(C(=O)Oc2ccc(C(C)(C)c3ccc(OC(=O)c4ccc(C(*)=O)c(C(C)C)c4)cc3)cc2)cc1OC#CCCCC,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0018770811
*CC(O)NC(=O)c1ccc(C(=O)NC(O)C(=O)Nc2ccc(NS(=O)(=O)c3ccc(O*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0018221252
*CCCCCCCCCNC(=O)C(OCCCCCCC)C(=O)O*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0017104865
*CS(=O)(=O)CCCCCCCCC(=O)N*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0016718722
*CC(CC)(C)CCC(=O)OCCCCCOC(=O)c1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0016085416
*CCCCCCCCCCC(=O)NCc1cc(NC(=O)N*)ccc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0015896029
*OC(=O)CCCCCCC(=O)OCCCCCCCOc1ccc(C(=O)Oc2ccc(O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0013215994
*CCOCCOCCCOCCOCCOCCOCCOC(=O)OCCCCOc1ccc(/C=C/c2ccc(OCC)cc2)cc1*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0011104939
*CCCCCCNC(=O)C(CCBr)(C#N)C(=O)N*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00107822
*CCCCCCCCCOCCCCCOc1ccc(NC(=O)C(C)C(C)c2ccc(C(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00094992924
*CCOCCOCCOC(=O)c1ccc(C(=O)Nc2ccc(C(=O)NNC(=O)N*)cc2C)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0008631818
*CCCOCCCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(/C=N/c2ccc(C#N)cc2)cc1*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0007531657
*CCCC(=O)NCCCCC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00074775505
*NNC(=O)Nc1ccc(C(=O)NCCCCSCNC(=O)c2ccc(O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0007385144
*C(=O)/C=C(\C)c1ccc(C(=O)CN(*)c2ccc(C(=O)OCCCCCCCCCCCC)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00066689955
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOC(=O)c1cccc(C(*)=O)c1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0004902028
*NNC(=O)C(=O)NC(CC)CCCCC(*)=O,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00044706705
*NC(=O)C(Cl)(CSC(=O)NCC(*)=O)C(C)C,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0003895571
*OCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCOc3ccc(OCC(*)=O)cc3C(C)CC)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00036313073
*CCCCCCCC(=O)c1ccc(C(=O)OCCCOC(=O)c2ccc(C(=O)N*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00034116095
*CCCCCCOC(=O)SCCCSC(=O)Oc1ccc(C(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0003343572
*CCCOc1ccc(C(=O)NCCCCCCNC(=O)c2ccc(NC(=O)c3ccc(C(=O)O*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00032644405
*CCOC(=O)NCCCCCCCNC(=O)C(=O)O*,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00031688297
*CCCCCc1ccc(/C=N/c2ccc([N+](=O)[O-])cc2)cc1OCCCCCCCCCCCOc1ccc(*)s1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0002956605
*NC(CC(*)=O)C(=O)OCCOC(CC)O,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0002718225
*Oc1ccc(C(=O)OC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(OCCCCCCCCC(*)=O)cc4)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00024684708
*Cc1ccc(NC(=O)OCCCCCCCCCCCCCCCCCC(=O)Oc2ccc(O*)o2)cc1CCCCCCC(=O)OCCCCc1ccccc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00021903044
*CCCCCCNC(=O)c1ccc(C(=O)NCCNC(=O)c2ccc(C(*)=O)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00016247555
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)c1ccc(C(=O)NN*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00016113155
*CCCCCCCCCCCCCCCC(=O)OCCc1ccc(C(=O)OC(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00015675242
*CCOC(=O)c1ccc(C(=O)Nc2ccc(NC(=O)CCCCCCCCCCCCC(=O)O*)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00014741516
*CCCCCC(=O)OCCOCCOC(=O)COC(=O)c1ccc(C(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.0001467433
*OC(=O)c1ccc(C(=O)OCCCCCCCCCCCCCOC(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,0.00013923112
*O[Si](C)(C)OC(=O)OC(=O)CCCCCS(*)(=O)=O,CN(C)C(=N)N=C(N)N,8.2,12.5,8.565584e-05
*CCCCCOCCCCCOc1ccc(C(=O)OCCCCOc2ccc(C(=O)OCCCCCOC(=O)c3ccc(N*)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,8.5182546e-05
*CCCCCCCCCCCCOC(=O)c1ccc(C(=O)NSCCC(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,8.0106816e-05
*CC[N+](C)(CC)CNC(=O)c1ccc(NC(=O)CCCCCCCCCC(=O)O*)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,7.237186e-05
*Nc1ccc(C(=O)NNC(=O)CCCCCCCCCC(*)=O)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,6.827309e-05
*OC(CCCCCCCN(C)OC(=O)O*)c1ccc(Oc2ccc(/N=N/c3ccc(C#N)cc3)cc2)cc1,CN(C)C(=N)N=C(N)N,8.2,12.5,6.0395872e-05
