POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,PREDICTED_CAPACITY
*CC(CCCCCCCCCOCCOCCOCCOCOCCOCOC*)Oc1ccc(Br)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.4609392
*O[Si](C)(C)CCOc1cccc(C(=O)c2ccc(Oc3ccc(C(*)=O)cc3)c(F)c2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.4186754
*C#CCOc1ccc(C(=O)c2ccc(OCCCCCC(=O)c3ccc(S(=O)(=O)c4ccc(O*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.4067932
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)Oc4ccc(OC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.2207545
*NC(C)CCCOc1ccccc1OC(=O)c1ccc(S(=O)(=O)c2ccc(*)cc2)c(SCCCC)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.0739673
*OC(=O)c1ccc(OC(=O)CCC(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,1.0002728
*CCCCNC(=O)c1ccc(C(=O)NNc2ccc(Cc3ccc(N(*)CC)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.96290416
*Oc1ccc(CC(C)(C)c2ccc(Oc3ccc(S(=O)(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.8118851
*Oc1ccc(/C=N/c2ccc(C(=O)OCc3ccc(OC(=O)c4ccc(*)cc4)cc3)cc2C)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.75877553
*NC(CCCCCCCNC(=O)OCCOc1ccc(/N=N/c2ccc(*)cc2)cc1)CC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.7363735
*SSc1ccc(C(=O)OCCCCCCCOC(=O)c2ccc(C(*)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.71980035
*OC(O)COc1ccc(/C=N/c2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.7059669
*c1ccc(C(=O)Nc2ccc(Cc3ccc(NC(=O)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.63044375
*OC(O)C(=O)NC(C)(C)OC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.5829432
*Oc1ccc(OCCCCCCCCCCOC(=O)c2ccc(C(*)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.4297867
*CCC(=O)OC(=O)c1ccc(Cc2ccc(C(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.382765
*CCCCCCCCCCOc1cc(Cl)ccc1OC(=O)CCCOC(=O)c1ccc(*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.32358867
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.27753317
*CC(C)CCCCCNC(=O)c1ccc(C(=O)NCCCO*)c(C)c1Br,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.27138975
*CC(O)COCCOC(=O)c1cccc(C(=O)Nc2ccc(Cc3ccc(O*)cc3)cc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.21457206
*CCCOC(=O)c1ccc(C(=O)OCCCCCCCOC(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.21132587
*c1ccc(S(=O)(=O)CCCCCCCCCCCC(=O)OCCCCOc2ccc(*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.1858311
*CCOCCOCCOCCOC(=O)Nc1ccc(C(=O)O*)c(C)c1C,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.14708894
*CCCCCCOC(=O)c1ccc(/C=N/c2ccc(C(C)(C)c3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.1303145
*CS(=O)(=O)CCCCCCCCC(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.115682095
*OC(=O)c1ccc(C(=O)OC(C)C(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.1069792
*CCCCCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(O*)cc2)c(C(C)C)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.102230206
*Oc1ccc(OC(=O)c2ccc(OC(=O)Nc3cccc(*)c3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.089629784
*CCOCCCOCCOC(=O)c1ccc(C(=O)O*)c(Br)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.08498847
*CC(C)OC(=O)c1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.084887944
*CCOCCOC(=O)NCC(C)(CCCOc1ccc(/C=N/c2ccc(O*)cc2)cc1)c1ccc(OCCCCC)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.082654886
*/C=C/C(CSCCCCCOC(=O)CCC(=O)O*)OC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.08109659
*Oc1c(C)cc(C)c(NC(=O)CCCCC(*)=O)c1C#N,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.07850413
*CCCCCCNC(=O)C(=O)NCc1ccc(NC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.07809905
*Oc1ccc(C(=O)OCCCCCCOC(=O)c2cccc(C(*)=O)c2)cc1OC(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.05923941
*O[Si](C)(C)CCCCOC(=O)c1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.057229716
*Cc1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)c(C)c2)cc1C(C)CCCCCC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.054776933
*Oc1ccc(NC(=O)c2ccc(OCCOc3ccc(S(=O)(=O)CCS(*)(=O)=O)cc3OCCC)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.054608524
*CCCCCCCCCCC(=O)NCc1cc(NC(=O)N*)ccc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.054100137
*Oc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.05293406
*Cc1ccc(COC(=O)c2ccc(-c3ccc(NC(=O)Nc4ccc(*)cc4)cc3)cc2)cc1C,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.04886838
*OC(=O)OCCOc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.045137983
*CCCCCCOC(=O)Oc1ccc(-c2ccc(OCCCC(=O)OCCCOc3ccc(O*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.036404066
*CCCCOC(=O)C(CCCCCCCC(=O)O*)c1ccc(C(=O)OC)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.034259558
*CCOC(=O)Sc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.033797655
*OC(=O)CCCCCCC(=O)OCCCCCCCOc1ccc(C(=O)Oc2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.032931738
*CCN(CCCOC(=O)c1ccc(/N=N/c2ccc(C(=O)Oc3ccc(O*)cc3)cc2)cc1)C(=O)OC(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.032603007
*O[Si](C)(C)Oc1ccc(/C=C/c2ccc(-c3ccc(/N=N/c4ccc(Sc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0251611
*CCOC(=O)NCCCCCCCNC(=O)C(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.023633404
*Oc1ccc(NC(=O)c2ccc(OC(=O)c3ccc(OCCCCCCCC(*)=O)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.022311118
*Oc1ccc(C(=O)CCCC(=O)Nc2ccc(C(=O)Sc3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.022006528
*CC(O)NC(=O)c1ccc(C(=O)NC(O)C(=O)Nc2ccc(NS(=O)(=O)c3ccc(O*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.021871265
*CCCC(=O)NCCCCC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.021512916
*CCCCCCCCCOCCCCCOc1ccc(NC(=O)C(C)C(C)c2ccc(C(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.021074727
*CC(CC)(C)CCC(=O)OCCCCCOC(=O)c1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.018766303
*CCCOC(=O)COC(=O)c1ccc(NC(=O)c2ccc(C(=O)S*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.017953832
*CCCCCCCCNC(=O)Cc1ccc(C(=O)N*)c(OCCCCCCCCCCCCCC)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.01723572
*CCCCCCCCC(CNC(=O)CCCCC(=O)N(C)C(=O)N*)c1ccc(-c2ccc(Cl)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.017232351
*N[Se]c1cccc(Cc2ccc(S(=O)(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)c1C,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.016829398
*NC(=O)C(Cl)(CSC(=O)NCC(*)=O)C(C)C,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.015157308
*CCCCCCNC(=O)c1ccc(C(=O)NCCNC(=O)c2ccc(C(*)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.013588262
*/C=N/c1ccc(Cc2ccc([N+](=O)[O-])cc2)cc1CCCCCCCCCCCCCCCCCCCC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.013311094
*/C=N/c1cccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.012636562
*CCOCCOC(=O)CCCCC(COCC)CC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.01200047
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOC(=O)c1cccc(C(*)=O)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.01146186
*NNC(=O)Nc1ccc(C(=O)NCCCCSCNC(=O)c2ccc(O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0112593295
*NC(=O)C(CCCCCCCOc1ccc(NC(=O)O*)cc1)SCCC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.01116419
*NNC(=O)C(=O)NC(CC)CCCCC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.010497819
*CCCCCCCCCNC(=O)C(OCCCCCCC)C(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.009615577
*Oc1ccc(C(=O)Nc2ccc(S(=O)(=O)c3ccc(*)cc3C)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.009454449
*Oc1cc(C)cc(C(=O)OCCCCC(*)=O)c1C(=O)OC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.008994261
*Oc1ccc(NC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.008823478
*CCOCCOCCOC(=O)c1ccc(C(=O)Nc2ccc(C(=O)NNC(=O)N*)cc2C)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.008751816
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)c1ccc(C(=O)NN*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.007094804
*CC(OC)C(COCOC(=O)c1ccc(/C=N/c2ccc(C(=O)O*)cc2)cc1)CCC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0068420093
*OCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCOc3ccc(OCC(*)=O)cc3C(C)CC)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.006453234
*CC(O)C(F)COc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(=O)O*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.006429866
*Oc1ccc(/C=N/N=C/N=C/c2ccc(C(C)(C)c3ccc(C(=O)/c4ccc(*)s4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00622863
*Nc1ccc(-c2ccc(Cc3ccc(NC(=O)CCCCCCC(*)=O)cc3C(=O)O)c(C)c2)cc1OC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0059809512
*Oc1ccc(-c2ccc(-c3ccc(OC(=O)c4ccccc4C(=O)OC(*)=O)cc3)c(C(F)(F)F)c2)cc1F,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0058153984
*CCCCCCCC(=O)c1ccc(C(=O)OCCCOC(=O)c2ccc(C(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0052809734
*OC(=O)c1ccc(C(=O)OCCCCCCCCCCCCCOC(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.004873746
*CCCOc1ccc(C(=O)NCCCCCCNC(=O)c2ccc(NC(=O)c3ccc(C(=O)O*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0043777917
*CCCOCCCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(/C=N/c2ccc(C#N)cc2)cc1*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.004270805
*Nc1ccc(C(=O)NNC(=O)CCCCCCCCCC(*)=O)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.003889541
*CCCCCCCCCCCCCCCC(=O)OCCc1ccc(C(=O)OC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0038754374
*Oc1ccc(/N=N/c2ccc(Oc3ccc(N=C(C)CCCCCCCCc4ccc(*)o4)s3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.003717789
*O[Si](C)(C)OC(=O)OC(=O)CCCCCS(*)(=O)=O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.003489184
*NC(CCCCCCCOc1ccc(C(=O)c2ccc(C(=O)Oc3ccc(O*)cc3)cc2)cc1)C(=O)OC(C)CCCCCCC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0032908467
*Cc1ccc(S(=O)(=O)CCCCCCC(=O)N2CCC(CCC(=O)O*)CCCC2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0032621748
*CC[N+](C)(CC)CNC(=O)c1ccc(NC(=O)CCCCCCCCCC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0032270486
*CCOC(=O)c1ccc(C(=O)Nc2ccc(NC(=O)CCCCCCCCCCCCC(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.003211428
*CCCCCOCCCCCOc1ccc(C(=O)OCCCCOc2ccc(C(=O)OCCCCCOC(=O)c3ccc(N*)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0030053887
*Oc1ccc(C(=O)OC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(OCCCCCCCCC(*)=O)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0029040356
*CCCCCCOC(=O)SCCCSC(=O)Oc1ccc(C(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.002546327
*CCCCCC(=O)OCCOCCOC(=O)COC(=O)c1ccc(C(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.002083557
*OC(=O)NC(O)CCCCC(*)=O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0020375715
*CCCCCCCCCCCCOC(=O)c1ccc(C(=O)NSCCC(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00198833
*CC(OCCCCNC(=O)CCCCCC(=O)N*)c1ccc(/N=N/c2ccc(C#N)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0013596026
*CCCCCNC(=O)Cc1ccc(C(=O)NCCSCCCNC(=O)N*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0011471715
*CC(C#N)=C/C=C/C(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0010678639
*CCCCCCNC(=O)C(CCBr)(C#N)C(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.000951515
*C(=O)NCCCCCCCCNC(=O)c1ccc(C(=O)NCCCCNC(=O)c2ccc(*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00086864945
*OC(=O)CCCCCCCCCCCCC(=O)OCCOC(=O)c1ccc(C(=O)OCCCCCOc2ccc(-c3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00072223897
*O[Si](C)(C)OC(C)OC(=O)Nc1ccc(C(=O)Oc2ccc(S(*)(=O)=O)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00071536616
*Nc1ccc(Oc2ccc(Sc3ccc(NC(=O)Nc4ccc(Oc5ccc(*)cc5)cc4)cc3)cc2)cc1/N=N/c1ccc(CC)cc1O,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00055081036
*CCOCCOCCCOCCOCCOCCOCCOC(=O)OCCCCOc1ccc(/C=C/c2ccc(OCC)cc2)cc1*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0005287502
*CCCCCCN(C)CNC(=O)C(C)(C)C(=O)N*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00050992187
*CCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCO*)nc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00049591163
*CCCCCCCCCCCCCCCCCCCCCOc1ccc(OC(=O)c2ccc(C(=O)O*)cc2)cc1CCCC,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00043652757
*Oc1ccc(C(=O)ONCc2cc(C)c(OC(=O)C(C)CC(=O)O*)c(C(=O)OCCCCC)c2)s1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00041170002
*OP(=O)(Oc1ccc(C(C)(C)OC(*)=O)cc1)c1ccccc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00037591968
*CCCS(=O)(=O)CCCCCCCCCCNC(=O)c1ccc(C(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0002720917
*CCCCCCCCCCCCCCCOc1ccc(CC(=O)OCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00026790245
*CC1CCC(CCCCCCCCCCCCNC(=O)C(OCC)CCCCC(=O)O*)CC1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00026762817
*Oc1ccc(NC(=O)OCCCCCCCCOC(=O)CCCCCCCC(=O)Nc2ccc(*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00025555192
*CCCc1ccnc(CCCCc2ccc(NC(=O)CCCCCCCCCCCCC(=O)Nc3ccc(*)s3)cc2)c1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00023319181
*CCCCCCCCCCCCOC(=O)CCCC(=O)OC(=O)c1ccc(C(=O)O*)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0002197485
*CCCCCCCCCCOC(=O)NCCNCC(=O)O*,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00021858347
*CC(OC(C)CCCCCCOc1ccc(/C=N/c2ccc(-c3ccc(O*)cc3)cc2)cc1)[N+](=O)[O-],CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.0002184201
*CC(CC)NC(=O)c1ccc(-c2ccc(NC(=O)N*)cc2)cc1,CC(=O)OC1=CC=CC=C1C(=O)O,8.2,12.5,0.00020010238
